id,order_date,delivery_date,delivered,product_id,product,category,cost,amount,price,discount,taxes,freight_cost
33c02f8a-ef9f-43fe-bc65-9d68d1756993,01/01/2022,10/01/2022,TRUE,0ad70f9c-dc0b-4c6c-87f7-39ef6dafe1fb,Webcam,Periféricos,2.117.000,15.000,170.931,3.470,1.650,3.850
33c02f8a-ef9f-43fe-bc65-9d68d1756993,01/01/2022,10/01/2022,TRUE,e5c01141-2a60-4378-bcb7-cda3ab621dd8,Fone de Ouvido Sem Fio,Áudio,4.230.000,21.000,423.675,2.820,1.900,3.230
d0469ee1-ba4b-48c8-81c8-6c806564872d,01/01/2022,29/01/2022,TRUE,1d767e28-d2ba-4e0a-a67f-9d3e834ad203,Roteador Wi-Fi,Redes,5.961.000,25.000,587.253,4.330,1.890,5.000
d0469ee1-ba4b-48c8-81c8-6c806564872d,01/01/2022,29/01/2022,TRUE,2f066034-6660-4f43-bed1-f431bcdf1c28,Monitor,Periféricos,3.169.000,88.000,233.362,2.470,2.000,2.400
d0469ee1-ba4b-48c8-81c8-6c806564872d,01/01/2022,29/01/2022,TRUE,e5508320-9789-4195-aac9-b9d4c4d18292,HD Externo,Armazenamento,9.232.000,31.000,511.502,2.830,2.000,1.440
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,f103ce15-4685-4343-801e-799afdd7ad5a,Headset,Áudio,8.367.000,46.000,739.884,1.870,1.440,5.000
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,ca366536-7852-4935-a667-af0d75fbea7a,SSD,Armazenamento,7.951.000,66.000,663.185,5.000,1.150,3.300
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,a4683878-cde0-4ff1-891d-82b63ac66e50,Caixa de Som Bluetooth,Áudio,4.379.000,59.000,457.189,4.230,1.160,5.000
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,e64f72d7-5b4b-466f-a445-83c677d004c7,Gabinete,Componentes,3.896.000,19.000,247.890,3.590,2.000,1.430
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,e5508320-9789-4195-aac9-b9d4c4d18292,HD Externo,Armazenamento,9.232.000,37.000,511.502,5.000,1.580,1.300
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,7c9d4229-4c08-45d0-91d9-c23a49a80cb8,Estabilizador,Energia,5.481.000,58.000,384.935,4.740,1.370,1.190
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,18b380da-f191-408a-a23b-be727828c8b8,Notebook Gamer,Computadores,5.477.000,35.000,559.901,2.660,2.000,5.000
28eab04e-f8f6-401f-b690-acc655c44004,01/01/2022,26/01/2022,TRUE,baa6df5e-d578-4f71-acee-6cb7b741f998,Placa-Mãe,Componentes,8.557.000,74.000,689.190,4.140,1.800,3.390
2c3ffb95-4f21-4049-a4ff-cd0e5ee1a51d,01/01/2022,18/01/2022,TRUE,14223b2f-f6f9-4e42-afe7-7e8c2749ca4a,Pen Drive,Armazenamento,7.251.000,75.000,653.400,5.000,2.000,5.000
2c3ffb95-4f21-4049-a4ff-cd0e5ee1a51d,01/01/2022,18/01/2022,TRUE,85347903-6f15-4899-a091-f510fde22fd0,Mousepad,Acessórios,2.299.000,23.000,241.729,5.000,2.000,3.970
2c3ffb95-4f21-4049-a4ff-cd0e5ee1a51d,01/01/2022,18/01/2022,TRUE,e799e77b-0a8c-46da-a27f-bc4a13c98467,Roteador,Redes,5.161.000,44.000,557.337,5.000,1.030,1.370
2c3ffb95-4f21-4049-a4ff-cd0e5ee1a51d,01/01/2022,18/01/2022,TRUE,0dd9517d-82a8-4671-9344-c84b80d3f349,Processador,Componentes,5.876.000,36.000,604.678,2.990,1.130,2.280
2c3ffb95-4f21-4049-a4ff-cd0e5ee1a51d,01/01/2022,18/01/2022,TRUE,0ff9542b-e317-4913-833d-5b0b0f7c0d0f,Cabo HDMI 4K,Acessórios,9.484.000,51.000,691.528,3.290,1.510,4.200
2c3ffb95-4f21-4049-a4ff-cd0e5ee1a51d,01/01/2022,18/01/2022,TRUE,7fb4594c-9085-415c-aed3-4c2c6eed21e4,Tablet,Tablets,5.589.000,59.000,308.841,5.000,2.000,5.000
2c3ffb95-4f21-4049-a4ff-cd0e5ee1a51d,01/01/2022,18/01/2022,TRUE,85e1f974-c7b6-44b0-8b57-a5991908d181,Scanner,Periféricos,2.281.000,67.000,163.682,4.740,1.360,2.630
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,f103ce15-4685-4343-801e-799afdd7ad5a,Headset,Áudio,8.367.000,31.000,739.884,3.510,2.000,2.710
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,14223b2f-f6f9-4e42-afe7-7e8c2749ca4a,Pen Drive,Armazenamento,7.251.000,20.000,653.400,2.740,2.000,3.810
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,e5508320-9789-4195-aac9-b9d4c4d18292,HD Externo,Armazenamento,9.232.000,28.000,511.502,3.170,1.670,5.000
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,3f892824-550d-41c0-ac19-98ca5f558f81,Notebook,Computadores,6.449.000,22.000,559.563,5.000,1.230,5.000
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,1d767e28-d2ba-4e0a-a67f-9d3e834ad203,Roteador Wi-Fi,Redes,5.961.000,22.000,587.253,4.440,1.390,5.000
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,a7da50ae-1205-4833-9135-81a9a0e37b3b,Hub USB 3.0,Acessórios,3.051.000,72.000,171.835,3.240,2.000,2.440
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,51a020f0-17d6-4c8c-837f-e252406486bc,Impressora,Periféricos,9.912.000,23.000,745.005,2.820,1.020,3.730
0e3bd89c-dc13-40bc-a20b-23b69196fcab,01/01/2022,28/01/2022,TRUE,43511872-185c-4705-8cf5-0ce79927fcf1,Fone de Ouvido,Áudio,5.997.000,55.000,572.818,2.080,1.180,4.190
0f5e92ee-4022-467c-af33-abadab368c6f,01/01/2022,14/01/2022,FALSE,8c14d2fe-6b93-4e0b-8d8a-e2da83a60c25,Hub USB,Acessórios,2.554.000,75.000,155.889,1.300,2.000,5.000
0f5e92ee-4022-467c-af33-abadab368c6f,01/01/2022,14/01/2022,FALSE,43511872-185c-4705-8cf5-0ce79927fcf1,Fone de Ouvido,Áudio,5.997.000,65.000,572.818,5.000,2.000,4.140
0f5e92ee-4022-467c-af33-abadab368c6f,01/01/2022,14/01/2022,FALSE,ca366536-7852-4935-a667-af0d75fbea7a,SSD,Armazenamento,7.951.000,17.000,663.185,5.000,1.900,3.620
0f5e92ee-4022-467c-af33-abadab368c6f,01/01/2022,14/01/2022,FALSE,a7da50ae-1205-4833-9135-81a9a0e37b3b,Hub USB 3.0,Acessórios,3.051.000,84.000,171.835,4.000,2.000,2.340
9034ebf4-4e17-4219-85b8-7ad7eb2c5b5c,02/01/2022,29/01/2022,TRUE,ea2f9a60-952b-4d22-a05c-d262e0b67934,Cooler,Componentes,2.508.000,28.000,195.405,1.630,2.000,5.000
9034ebf4-4e17-4219-85b8-7ad7eb2c5b5c,02/01/2022,29/01/2022,TRUE,8c14d2fe-6b93-4e0b-8d8a-e2da83a60c25,Hub USB,Acessórios,2.554.000,79.000,155.889,4.990,1.750,5.000
